Kuukausi,Polttoneste,Hinta
1991-05-01,"Kevyt polttoöljy, eur/MWh",20.8
1991-06-01,"Moottoribensiini 95 E 10, snt/l",75.4
1991-06-01,"Dieselöljy, snt/l",50.1
1991-06-01,"Kevyt polttoöljy, snt/l",20.9
1991-06-01,"Kevyt polttoöljy, eur/MWh",21.0
1991-07-01,"Moottoribensiini 95 E 10, snt/l",74.5
1991-07-01,"Dieselöljy, snt/l",51.1
1991-07-01,"Kevyt polttoöljy, snt/l",22.0
1991-07-01,"Kevyt polttoöljy, eur/MWh",22.1
1991-08-01,"Moottoribensiini 95 E 10, snt/l",74.2
1991-08-01,"Dieselöljy, snt/l",51.5
1991-08-01,"Kevyt polttoöljy, snt/l",22.2
1991-08-01,"Kevyt polttoöljy, eur/MWh",22.3
1991-09-01,"Moottoribensiini 95 E 10, snt/l",74.0
1991-09-01,"Dieselöljy, snt/l",51.6
1991-09-01,"Kevyt polttoöljy, snt/l",22.0
1991-09-01,"Kevyt polttoöljy, eur/MWh",22.1
1991-10-01,"Moottoribensiini 95 E 10, snt/l",73.8
1991-10-01,"Dieselöljy, snt/l",54.0
1991-10-01,"Kevyt polttoöljy, snt/l",23.9
1991-10-01,"Kevyt polttoöljy, eur/MWh",24.0
1991-11-01,"Moottoribensiini 95 E 10, snt/l",75.0
1991-11-01,"Dieselöljy, snt/l",55.0
1991-11-01,"Kevyt polttoöljy, snt/l",23.4
1991-11-01,"Kevyt polttoöljy, eur/MWh",23.5
1991-12-01,"Moottoribensiini 95 E 10, snt/l",72.0
1991-12-01,"Dieselöljy, snt/l",53.0
1991-12-01,"Kevyt polttoöljy, snt/l",21.4
1991-12-01,"Kevyt polttoöljy, eur/MWh",21.5
1992-01-01,"Moottoribensiini 95 E 10, snt/l",76.2
1992-01-01,"Dieselöljy, snt/l",52.1
1992-01-01,"Kevyt polttoöljy, snt/l",21.7
1992-01-01,"Kevyt polttoöljy, eur/MWh",21.8
1992-02-01,"Moottoribensiini 95 E 10, snt/l",74.7
1992-02-01,"Dieselöljy, snt/l",51.6
1992-02-01,"Kevyt polttoöljy, snt/l",21.7
1992-02-01,"Kevyt polttoöljy, eur/MWh",21.8
1992-03-01,"Moottoribensiini 95 E 10, snt/l",73.3
1992-03-01,"Dieselöljy, snt/l",50.1
1992-03-01,"Kevyt polttoöljy, snt/l",21.0
1992-03-01,"Kevyt polttoöljy, eur/MWh",21.1
1992-04-01,"Moottoribensiini 95 E 10, snt/l",74.3
1992-04-01,"Dieselöljy, snt/l",49.8
1992-04-01,"Kevyt polttoöljy, snt/l",21.9
1992-04-01,"Kevyt polttoöljy, eur/MWh",22.0
1992-05-01,"Moottoribensiini 95 E 10, snt/l",75.9
1992-05-01,"Dieselöljy, snt/l",50.3
1992-05-01,"Kevyt polttoöljy, snt/l",22.9
1992-05-01,"Kevyt polttoöljy, eur/MWh",23.0
1992-06-01,"Moottoribensiini 95 E 10, snt/l",79.2
1992-06-01,"Dieselöljy, snt/l",49.5
1992-06-01,"Kevyt polttoöljy, snt/l",22.5
1992-06-01,"Kevyt polttoöljy, eur/MWh",22.6
1992-07-01,"Moottoribensiini 95 E 10, snt/l",77.9
1992-07-01,"Dieselöljy, snt/l",48.3
1992-07-01,"Kevyt polttoöljy, snt/l",22.0
1992-07-01,"Kevyt polttoöljy, eur/MWh",22.1
1992-08-01,"Moottoribensiini 95 E 10, snt/l",76.5
1992-08-01,"Dieselöljy, snt/l",47.3
1992-08-01,"Kevyt polttoöljy, snt/l",21.4
1992-08-01,"Kevyt polttoöljy, eur/MWh",21.5
1992-09-01,"Moottoribensiini 95 E 10, snt/l",78.2
1992-09-01,"Dieselöljy, snt/l",50.1
1992-09-01,"Kevyt polttoöljy, snt/l",25.1
1992-09-01,"Kevyt polttoöljy, eur/MWh",25.2
1992-10-01,"Moottoribensiini 95 E 10, snt/l",79.2
1992-10-01,"Dieselöljy, snt/l",51.8
1992-10-01,"Kevyt polttoöljy, snt/l",25.6
1992-10-01,"Kevyt polttoöljy, eur/MWh",25.7
1992-11-01,"Moottoribensiini 95 E 10, snt/l",79.1
1992-11-01,"Dieselöljy, snt/l",51.6
