"12ge -- Polttonesteiden kuluttajahinnat (sisältää alv:n), 1988M01-2025M03"

"Kuukausi","Polttoneste","Hinta","Hinta, vuosimuutos (%)"
"1990M09","Moottoribensiini 95 E 10, snt/l",79.6,29.6
"1990M09","Dieselöljy, snt/l",56.7,26.7
"1990M09","Kevyt polttoöljy, snt/l",27.6,53.2
"1990M09","Kevyt polttoöljy, eur/MWh",27.7,53.0
"1990M10","Moottoribensiini 95 E 10, snt/l",74.3,23.5
"1990M10","Dieselöljy, snt/l",57.9,26.0
"1990M10","Kevyt polttoöljy, snt/l",27.3,43.3
"1990M10","Kevyt polttoöljy, eur/MWh",27.4,43.5
"1990M11","Moottoribensiini 95 E 10, snt/l",71.8,19.6
"1990M11","Dieselöljy, snt/l",57.0,20.7
"1990M11","Kevyt polttoöljy, snt/l",27.3,36.2
"1990M11","Kevyt polttoöljy, eur/MWh",27.4,36.3
"1990M12","Moottoribensiini 95 E 10, snt/l",67.4,11.7
"1990M12","Dieselöljy, snt/l",55.5,13.0
"1990M12","Kevyt polttoöljy, snt/l",25.2,20.0
"1990M12","Kevyt polttoöljy, eur/MWh",25.3,19.9
"1991M01","Moottoribensiini 95 E 10, snt/l",74.3,9.4
"1991M01","Dieselöljy, snt/l",56.3,7.7
"1991M01","Kevyt polttoöljy, snt/l",24.9,15.6
"1991M01","Kevyt polttoöljy, eur/MWh",25.0,15.7
"1991M02","Moottoribensiini 95 E 10, snt/l",72.8,6.9
"1991M02","Dieselöljy, snt/l",54.0,5.2
"1991M02","Kevyt polttoöljy, snt/l",22.7,10.7
"1991M02","Kevyt polttoöljy, eur/MWh",22.8,10.7
"1991M03","Moottoribensiini 95 E 10, snt/l",74.8,10.1
"1991M03","Dieselöljy, snt/l",51.0,1.7
"1991M03","Kevyt polttoöljy, snt/l",19.9,2.6
"1991M03","Kevyt polttoöljy, eur/MWh",19.9,2.6
"1991M04","Moottoribensiini 95 E 10, snt/l",74.3,11.3
"1991M04","Dieselöljy, snt/l",49.5,3.5
"1991M04","Kevyt polttoöljy, snt/l",19.9,6.3
"1991M04","Kevyt polttoöljy, eur/MWh",19.9,5.9
"1991M05","Moottoribensiini 95 E 10, snt/l",75.2,13.4
"1991M05","Dieselöljy, snt/l",50.0,6.5
"1991M05","Kevyt polttoöljy, snt/l",20.7,12.9
"1991M05","Kevyt polttoöljy, eur/MWh",20.8,13.0
"1991M06","Moottoribensiini 95 E 10, snt/l",75.4,10.6
"1991M06","Dieselöljy, snt/l",50.1,7.2
"1991M06","Kevyt polttoöljy, snt/l",20.9,19.3
"1991M06","Kevyt polttoöljy, eur/MWh",21.0,19.3
"1991M07","Moottoribensiini 95 E 10, snt/l",74.5,9.4
"1991M07","Dieselöljy, snt/l",51.1,9.0
"1991M07","Kevyt polttoöljy, snt/l",22.0,24.7
"1991M07","Kevyt polttoöljy, eur/MWh",22.1,24.9
"1991M08","Moottoribensiini 95 E 10, snt/l",74.2,-0.5
"1991M08","Dieselöljy, snt/l",51.5,-1.6
"1991M08","Kevyt polttoöljy, snt/l",22.2,-4.4
"1991M08","Kevyt polttoöljy, eur/MWh",22.3,-4.3
"1991M09","Moottoribensiini 95 E 10, snt/l",74.0,-7.0
"1991M09","Dieselöljy, snt/l",51.6,-8.9
"1991M09","Kevyt polttoöljy, snt/l",22.0,-20.1
"1991M09","Kevyt polttoöljy, eur/MWh",22.1,-20.2
"1991M10","Moottoribensiini 95 E 10, snt/l",73.8,-0.7
"1991M10","Dieselöljy, snt/l",54.0,-6.7
"1991M10","Kevyt polttoöljy, snt/l",23.9,-12.4
"1991M10","Kevyt polttoöljy, eur/MWh",24.0,-12.4
"1991M11","Moottoribensiini 95 E 10, snt/l",75.0,4.4
"1991M11","Dieselöljy, snt/l",55.0,-3.5
"1991M11","Kevyt polttoöljy, snt/l",23.4,-14.2
"1991M11","Kevyt polttoöljy, eur/MWh",23.5,-14.2
"1991M12","Moottoribensiini 95 E 10, snt/l",72.0,6.7
"1991M12","Dieselöljy, snt/l",53.0,-4.5
"1991M12","Kevyt polttoöljy, snt/l",21.4,-15.3
"1991M12","Kevyt polttoöljy, eur/MWh",21.5,-15.0
"1992M01","Moottoribensiini 95 E 10, snt/l",76.2,2.5
"1992M01","Dieselöljy, snt/l",52.1,-7.5
"1992M01","Kevyt polttoöljy, snt/l",21.7,-12.8
